"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCACC_001";"15";"1516";"Ulstein";"Endring 2018-2024";NA;286.63;"NA";"Yellow"
"ENCACC_001";"15";"1517";"Hareid";"2018";7.86;7.86;"Yellow";"Yellow"
"ENCACC_001";"15";"1517";"Hareid";"2019";9.22;17.08;"Yellow";"Yellow"
"ENCACC_001";"15";"1517";"Hareid";"2020";32.23;49.31;"Yellow";"Yellow"
"ENCACC_001";"15";"1517";"Hareid";"2021";47.93;97.24;"Yellow";"Yellow"
"ENCACC_001";"15";"1517";"Hareid";"2022";48.92;146.16;"Yellow";"Yellow"
"ENCACC_001";"15";"1517";"Hareid";"2023";40.32;186.48;"Green";"Yellow"
"ENCACC_001";"15";"1517";"Hareid";"2024";37.52;224;"Yellow";"Yellow"
"ENCACC_001";"15";"1517";"Hareid";"Endring 2018-2024";NA;216.14;"NA";"Yellow"
"ENCACC_001";"15";"1520";"Ørsta";"2018";176.64;176.64;"Yellow";"Yellow"
"ENCACC_001";"15";"1520";"Ørsta";"2019";105.76;282.4;"Yellow";"Yellow"
"ENCACC_001";"15";"1520";"Ørsta";"2020";208.71;491.11;"Yellow";"Yellow"
"ENCACC_001";"15";"1520";"Ørsta";"2021";309.69;800.8;"Yellow";"Yellow"
"ENCACC_001";"15";"1520";"Ørsta";"2022";137.07;937.87;"Yellow";"Yellow"
"ENCACC_001";"15";"1520";"Ørsta";"2023";178.93;1116.8;"Green";"Yellow"
"ENCACC_001";"15";"1520";"Ørsta";"2024";93.14;1209.94;"Yellow";"Yellow"
"ENCACC_001";"15";"1520";"Ørsta";"Endring 2018-2024";NA;1033.3;"NA";"Yellow"
"ENCACC_001";"15";"1525";"Stranda";"2018";45.04;45.04;"Yellow";"Yellow"
"ENCACC_001";"15";"1525";"Stranda";"2019";42.28;87.32;"Yellow";"Yellow"
"ENCACC_001";"15";"1525";"Stranda";"2020";209.81;297.13;"Yellow";"Yellow"
"ENCACC_001";"15";"1525";"Stranda";"2021";155.17;452.3;"Yellow";"Yellow"
"ENCACC_001";"15";"1525";"Stranda";"2022";156.73;609.03;"Yellow";"Yellow"
"ENCACC_001";"15";"1525";"Stranda";"2023";297.5;906.53;"Green";"Yellow"
"ENCACC_001";"15";"1525";"Stranda";"2024";81.8;988.33;"Yellow";"Yellow"
"ENCACC_001";"15";"1525";"Stranda";"Endring 2018-2024";NA;943.29;"NA";"Yellow"
"ENCACC_001";"15";"1528";"Sykkylven";"2018";63.74;63.74;"Yellow";"Yellow"
"ENCACC_001";"15";"1528";"Sykkylven";"2019";60.07;123.81;"Yellow";"Yellow"
