"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"33";"3334";"Flesberg";"Gammel furuskog med stående død ved";"2018-2024";3.92;"Yellow"
"ENCREC_005";"33";"3334";"Flesberg";"Slåttemark";"2018-2024";1.63;"Yellow"
"ENCREC_005";"33";"3336";"Rollag";"Boreal hei";"2018-2024";0.4;"Yellow"
"ENCREC_005";"33";"3336";"Rollag";"Gammel granskog med gamle trær";"2018-2024";5.82;"Yellow"
"ENCREC_005";"33";"3338";"Nore og Uvdal";"Boreal hei";"2018-2024";0.33;"Yellow"
"ENCREC_005";"34";"3401";"Kongsvinger";"Eng-aktig sterkt endret fastmark";"2018-2024";0.08;"Yellow"
"ENCREC_005";"34";"3401";"Kongsvinger";"Gammel lågurtgranskog";"2018-2024";0;"Yellow"
"ENCREC_005";"34";"3401";"Kongsvinger";"Semi-naturlig eng";"2018-2024";0.04;"Yellow"
"ENCREC_005";"34";"3411";"Ringsaker";"Gammel granskog med gamle trær";"2018-2024";0.26;"Yellow"
"ENCREC_005";"34";"3411";"Ringsaker";"Mudderbank";"2018-2024";0.08;"Orange"
"ENCREC_005";"34";"3411";"Ringsaker";"Naturbeitemark";"2018-2024";1.41;"Yellow"
"ENCREC_005";"34";"3412";"Løten";"Lågurtfuruskog";"2018-2024";4.12;"Yellow"
"ENCREC_005";"34";"3413";"Stange";"Eng-aktig sterkt endret fastmark";"2018-2024";0.01;"Yellow"
"ENCREC_005";"34";"3413";"Stange";"Hagemark";"2018-2024";1.79;"Yellow"
"ENCREC_005";"34";"3413";"Stange";"Rik kulturlandskapssjø";"2018-2024";0.62;"Yellow"
"ENCREC_005";"34";"3413";"Stange";"Viktig bekkedrag";"2018-2024";0.28;"Orange"
"ENCREC_005";"34";"3420";"Elverum";"Lågurtfuruskog";"2018-2024";0.18;"Yellow"
"ENCREC_005";"34";"3420";"Elverum";"Rik sandfuruskog";"2018-2024";0.04;"Yellow"
"ENCREC_005";"34";"3420";"Elverum";"Sandfuruskog";"2018-2024";0.01;"Yellow"
"ENCREC_005";"34";"3427";"Tynset";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0.09;"Yellow"
"ENCREC_005";"34";"3427";"Tynset";"Rikmyr";"2018-2024";1.41;"Yellow"
"ENCREC_005";"34";"3428";"Alvdal";"Slåttemark";"2018-2024";0.02;"Yellow"
"ENCREC_005";"34";"3428";"Alvdal";"Åpen flommark";"2018-2024";0.04;"Yellow"
